model,path,slice_idx,spleen_dice,rkidney_dice,lkidney_dice,liver_dice,aorta_dice
SAM-vit_h,img0002.nii.gz,88,nan,0.9273161816392521,0.9412935323383085,0.9386020435844109,0.9528301886792453
SAM-vit_h,img0002.nii.gz,89,nan,0.8771132263105554,0.9527943570265871,0.9343123952430361,0.8666666666666667
SAM-vit_h,img0002.nii.gz,90,nan,0.8377369756680102,0.9280511636169835,0.9532159640878165,0.9119170984455959
SAM-vit_h,img0002.nii.gz,91,nan,0.85798729126644,0.9302876480541455,0.9546772068511199,0.9143610013175231
SAM-vit_h,img0002.nii.gz,92,nan,0.8700434153400868,0.8936820652173914,0.9435278002615031,0.9056603773584906
SAM-vit_h,img0002.nii.gz,93,nan,0.8679301596776601,0.8761399436246062,0.9399456678804693,0.9028132992327366
SAM-vit_h,img0002.nii.gz,94,nan,0.947113722779122,0.8824611269018559,0.9355910745371103,0.9455864570737605
SAM-vit_h,img0002.nii.gz,95,nan,0.9589538685070832,0.8862864901561439,0.9696457099896626,0.9308641975308642
SAM-vit_h,img0002.nii.gz,96,nan,0.9714174606260937,0.9158657899173832,0.973778256189451,0.9265822784810127
SAM-vit_h,img0002.nii.gz,97,nan,0.9543077972266424,0.9339330024813896,0.9774376146057562,0.9150823827629911
SAM-vit_h,img0002.nii.gz,98,nan,0.9274285714285714,0.8447442097225757,0.9620601106730804,0.8918918918918919
SAM-vit_h,img0002.nii.gz,99,nan,0.8999280057595392,0.9175,0.7630413451083353,0.6573033707865169
SAM-vit_h,img0002.nii.gz,100,nan,0.8685306365258775,0.917037037037037,0.7932817915222607,0.8863636363636364
SAM-vit_h,img0002.nii.gz,101,nan,0.602020202020202,0.9293418979517635,0.781173832504631,0.9101516919486581
SAM-vit_h,img0002.nii.gz,102,nan,nan,0.9442679051576631,0.7665696106977246,0.9020556227327691
SAM-vit_h,img0002.nii.gz,103,nan,nan,0.9449459631277813,0.7889284826386012,0.9228915662650602
SAM-vit_h,img0002.nii.gz,104,nan,nan,0.9291615874305837,0.8305021698698078,0.7721123829344433
SAM-vit_h,img0002.nii.gz,105,0.6489746682750301,nan,0.9520557689571774,0.9096803413506234,0.8609271523178808
SAM-vit_h,img0002.nii.gz,106,0.7032048304691129,nan,0.9468735307945463,0.830340686693648,0.9177820267686424
SAM-vit_h,img0002.nii.gz,107,0.7121346324180691,nan,0.9255605381165919,0.8910705002599272,0.9300970873786408
SAM-vit_h,img0002.nii.gz,108,0.7291127324076253,nan,0.9292502639915523,0.8239010452714334,0.8918099089989889
SAM-vit_h,img0002.nii.gz,109,0.7057992761938389,nan,0.9061728395061729,0.8126833594869346,0.9294685990338164
SAM-vit_h,img0002.nii.gz,110,0.7867138762434666,nan,0.8792724992160552,0.9131457643976053,0.9437148217636022
SAM-vit_h,img0002.nii.gz,111,0.7309801715651807,nan,0.8119210632299637,0.8758349975896976,0.8859198355601233
SAM-vit_h,img0002.nii.gz,112,0.6500338815992115,nan,0.0016778523489932886,0.9124887227735533,0.8398950131233596
SAM-vit_h,img0002.nii.gz,113,0.6401332619430067,nan,0.0,0.9169869607385323,0.9184397163120568
SAM-vit_h,img0002.nii.gz,114,0.7542157692558109,nan,nan,0.8931598973542164,0.9129287598944591
SAM-vit_h,img0002.nii.gz,115,0.5773244781783681,nan,nan,0.8876250108705105,0.8780487804878049
SAM-vit_h,img0002.nii.gz,116,0.6330998731594331,nan,nan,0.8313760031317283,0.8604081632653061
SAM-vit_h,img0002.nii.gz,117,0.6638906152889994,nan,nan,0.8267147422764893,0.9121140142517815
SAM-vit_h,img0002.nii.gz,118,0.6198079158255337,nan,nan,0.9259937682938344,0.8698884758364313
SAM-vit_h,img0002.nii.gz,119,0.652684071575242,nan,nan,0.8865685978050125,0.849811320754717
SAM-vit_h,img0002.nii.gz,120,0.6702445891254619,nan,nan,0.8615040302134876,0.8456474030724214
SAM-vit_h,img0002.nii.gz,121,0.8290074344593713,nan,nan,0.8243588226343641,0.8240165631469979
SAM-vit_h,img0002.nii.gz,122,0.8049038898138338,nan,nan,0.8456577590576227,0.7684931506849315
SAM-vit_h,img0002.nii.gz,123,0.725101065784638,nan,nan,0.846573636596711,0.8721311475409836
SAM-vit_h,img0002.nii.gz,124,0.6869058570990494,nan,nan,0.8364153095376101,0.8833746898263027
SAM-vit_h,img0002.nii.gz,125,0.18305597579425115,nan,nan,0.8400215512940754,0.8652037617554859
SAM-vit_h,img0002.nii.gz,126,nan,nan,nan,0.8475553866446088,0.8381410256410257
SAM-vit_h,img0002.nii.gz,127,nan,nan,nan,0.8597694987938891,0.8954996186117468
SAM-vit_h,img0002.nii.gz,128,nan,nan,nan,0.7723420167019818,0.8727544910179641
SAM-vit_h,img0002.nii.gz,129,nan,nan,nan,0.5813523131672598,0.8847305389221557
SAM-vit_h,img0002.nii.gz,130,nan,nan,nan,0.369719782517775,0.8626247122026094
SAM-vit_h,img0002.nii.gz,131,nan,nan,nan,0.26498165511618427,0.8740279937791602
SAM-vit_h,img0002.nii.gz,132,nan,nan,nan,0.0,0.8776758409785933
SAM-vit_h,img0002.nii.gz,133,nan,nan,nan,nan,0.8904876099120703
SAM-vit_h,img0002.nii.gz,134,nan,nan,nan,nan,0.8008720930232558
SAM-vit_h,img0002.nii.gz,135,nan,nan,nan,nan,0.8634569850039463
SAM-vit_h,img0002.nii.gz,136,nan,nan,nan,nan,0.8634686346863468
SAM-vit_h,img0002.nii.gz,137,nan,nan,nan,nan,0.8539493293591655
SAM-vit_h,img0002.nii.gz,138,nan,nan,nan,nan,0.8674329501915709
SAM-vit_h,img0007.nii.gz,0,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,1,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,2,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,3,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,4,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,5,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,6,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,7,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,8,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,9,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,10,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,11,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,12,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,13,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,14,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,15,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,16,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,17,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,18,nan,nan,nan,nan,nan
SAM-vit_h,img0007.nii.gz,19,nan,nan,nan,nan,nan
